Caso,C_ef (mg/L),Q_ef (m³/d),W (g/d),C0 (mg/L)
C_ef mínima,0.005,129600.0,648.0,0.0005555555555555556
C_ef máxima,0.011,129600.0,1425.6000000000001,0.0012222222222222222
