Escenario,Especie,Biomasa media (mg/L),Biomasa final (mg/L),Cambio medio vs Control (%),C_org máx. (mg/kg),m_tox máx. (1/d)
Control,Fitoplancton,0.05050442432892519,0.049526651708483284,0.0,0.0,-0.0
Control,Daphnia,0.004920516028247377,0.0049251807116692465,0.0,0.0,-0.0
Control,Trucha,0.3063219671949947,0.29492939686011643,0.0,0.0,-0.0
Perturbado,Fitoplancton,0.050504371826590636,0.04952654255962513,-0.00010395591130141213,0.04231167028111897,1.2534087957350852e-05
Perturbado,Daphnia,0.004920516606375493,0.004925172561801329,1.174933914604992e-05,0.02216560986261099,8.431179325837903e-09
Perturbado,Trucha,0.3063140213766701,0.2949153170811098,-0.0025939433588084704,0.00861690796901096,1.2890813159701953e-07
Estrés (100×W),Fitoplancton,0.05009406573425201,0.04899044576184449,-0.8125200913104202,4.231164877142699,0.10640068396213519
Estrés (100×W),Daphnia,0.0048318002592259495,0.004801059994536045,-1.8029769339665602,2.2165580411832164,0.2603646959179013
Estrés (100×W),Trucha,0.27469245191578534,0.2321237951745517,-10.32557853060373,0.8616890703976083,0.0012857644267933903
