Proceso,k (1/d),t½ (d),Pérdida en el tramo (%)
k_bio,0.009182074291030127,75.4891714650004,0.09671062297428312
k_foto,0.06931471805599453,10.0,0.7277526925246858
k_hid,0.0018990333713971104,365.0,0.02000933295660534
k_vol,4.528217867130323e-06,153072.8425395342,4.7716730444680167e-05
k_sed,7.419749064202565e-05,9341.92213998333,0.0007818635870071589
k_total,0.08047455142693093,8.613246899416485,0.8444265870862666
