Control,Perturbado,Estrés (100×W),t_d
0.35,0.35,0.35000000000000003,0.0
0.3499963257583531,0.3499963232143149,0.34999632320228125,0.041666666666666664
0.3499967162674418,0.34999671371503227,0.34999671340427757,0.08333333333333333
0.34999923190798604,0.3499992289037848,0.34999922632846975,0.125
0.3500017208627285,0.350001717424875,0.3500017090080487,0.16666666666666666
0.35000203319502926,0.3500020300982808,0.3500020084107767,0.20833333333333334
0.3499982254257962,0.34999822697194344,0.3499981811814821,0.25
0.34998874505749356,0.3499887465946538,0.3499886681112166,0.2916666666666667
0.3499725360863673,0.34997253761849406,0.34997241124710343,0.3333333333333333
0.34994909558246723,0.34994909710834676,0.34994890347646584,0.375
0.3499184592337586,0.34991846074679483,0.34991817557768323,0.4166666666666667
0.3498811419412363,0.3498811434769853,0.349880736908326,0.4583333333333333
0.3498380518133184,0.34983805333893575,0.34983748943536375,0.5
0.34979039580800325,0.34979039746762874,0.3497896336811146,0.5416666666666666
0.3497395897031529,0.3497395909655619,0.34973857851483986,0.5833333333333334
0.3496871786562026,0.34968717989037573,0.34968586524385187,0.625
0.34963476843133884,0.3496347699987333,0.3496330904974128,0.6666666666666666
0.34958396308420464,0.3495839646007039,0.34958185570408923,0.7083333333333334
0.34953630269916314,0.3495363041636394,0.3495336976929266,0.75
0.34949319499687004,0.34949319629863784,0.3494900226726806,0.7916666666666666
0.3494558369807773,0.34945583820193155,0.3494520277543855,0.8333333333333334
0.34942512572172246,0.34942512696165456,0.34942061198352986,0.875
0.34940156590435906,0.34940156686279755,0.3493962828679261,0.9166666666666666
0.3493851841065973,0.3493851848786083,0.349379071526242,0.9583333333333334
0.34937547131751173,0.3493754718768431,0.34936847341097177,1.0
0.3493713706670159,0.34937137101269583,0.3493634359690059,1.0416666666666667
0.3493713268954692,0.3493713245213288,0.34936240815600644,1.0833333333333333
0.34937340353456625,0.34937340121235627,0.3493634572145681,1.125
0.34937545747931087,0.3493754459663694,0.3493644409206148,1.1666666666666667
0.34937534662712294,0.349375333668297,0.34936321300172174,1.2083333333333333
0.3493711374043909,0.34937112452031704,0.34935784559800986,1.25
0.3493612807001544,0.3493612676037374,0.3493467733962961,1.2916666666666667
0.34934472588305393,0.34934471266246253,0.34932894567530626,1.3333333333333333
0.34932097191004474,0.34932095855987566,0.3493038541254532,1.375
0.34929005415196035,0.3492900406620644,0.34927152591284305,1.4166666666666667
0.3492524851706375,0.349252471519533,0.349232464977107,1.4583333333333333
0.3492091690712412,0.3492091552598821,0.3491875666434127,1.5
0.3491613075457843,0.34916129357789133,0.3491380243645879,1.5416666666666667
0.349110310223375,0.3491102960455808,0.34908524077829645,1.5833333333333333
0.3490577155723577,0.34905770657306306,0.349030756520831,1.625
0.34900512242039405,0.3490051161900567,0.3489761529961749,1.6666666666666667
0.34895412791243563,0.3489541221838974,0.3489230285674479,1.7083333333333333
0.34890626550715653,0.348906259545123,0.3488729198757546,1.75
0.34886293694309556,0.3488629305851557,0.3488272319854364,1.7916666666666667
0.34882533395930176,0.3488253273652509,0.3487871629716236,1.8333333333333333
0.34879435005329446,0.3487943431423234,0.3487536142705086,1.875
0.34877048735099503,0.34877048011914186,0.34872709816260544,1.9166666666666667
0.34875377266339197,0.34875376507708855,0.3487076516836316,1.9583333333333333
0.34874369922779497,0.3487436911562563,0.3486947786316205,2.0
0.3487392144898455,0.3487392049475465,0.3486874355827406,2.0416666666666665
0.34873877002117737,0.3487387606314816,0.34868408427491526,2.0833333333333335
0.34874043765621504,0.3487404288429929,0.34868280147332426,2.125
0.34874208361803194,0.3487420743338124,0.3486814551879381,2.1666666666666665
0.3487415746449057,0.3487415629353731,0.34867791328109415,2.2083333333333335
0.34873698574503054,0.3487369676165259,0.3486702477846453,2.25
0.3487267741943216,0.34872675575109163,0.3486569091644947,2.2916666666666665
0.34870989382405587,0.3487098750658726,0.34863684358601904,2.3333333333333335
0.3486858457564095,0.34868582667401155,0.34860954220386176,2.375
0.34865466518237037,0.3486546457522254,0.3485750291313741,2.4166666666666665
0.34861686244711837,0.34861684267921245,0.3485338031953956,2.4583333333333335
0.3485733377767509,0.34857331768354666,0.34848675342321456,2.5
0.3485252877211017,0.34852526739897366,0.3484350661311417,2.5416666666666665
0.34847411592878536,0.348474095121369,0.34838013653083477,2.5833333333333335
0.3484213542022672,0.34842133372752954,0.34832349083093667,2.625
0.34836859464031694,0.34836857379129615,0.34826671653544455,2.6666666666666665
0.3483174276007727,0.3483174063523283,0.348211404180867,2.7083333333333335
0.348269380030842,0.3482693583654122,0.34815908358474595,2.75
0.34822584766753056,0.34822582565343246,0.348111156645856,2.7916666666666665
0.348188017388714,0.34818799489284824,0.34806881936575623,2.8333333333333335
0.3481567786606919,0.348156755728238,0.34803297322757354,2.875
0.3481326319441352,0.34813260841130306,0.34800413222848453,2.9166666666666665
0.34811560353411963,0.3481155794974799,0.3479823374104741,2.9583333333333335
0.34810518895938863,0.3481051643789258,0.3479670984012568,3.0
0.348100340212688,0.3481003150076676,0.3479573801364307,3.0416666666666665
0.348099515545437,0.34809948698468857,0.34795164927782263,3.0833333333333335
0.34810079497741697,0.34810076597267603,0.3479479988468968,3.125
0.3481020533176764,0.3481020236904801,0.3479443054640306,3.1666666666666665
0.34810116669919494,0.34810114066764297,0.3479384486537759,3.2083333333333335
0.34809621803326674,0.3480961962023449,0.3479285075541982,3.25
0.3480856712267272,0.34808564889465926,0.3479129301171878,3.2916666666666665
0.3480684844343587,0.3480684615972084,0.3478906707467445,3.3333333333333335
0.3480441608483248,0.34804413750014024,0.3478612205708255,3.375
0.34801273548024597,0.3480127115914863,0.3478246012520863,3.4166666666666665
0.34797471649803097,0.34797469210525306,0.3477813071619825,3.4583333333333335
0.3479310003151946,0.3479309753954283,0.347732221394498,3.5
0.3478827784218952,0.3478827530544919,0.34767852357316026,3.5416666666666665
0.34783144858104403,0.3478314225671852,0.3476216013849725,3.5833333333333335
0.3477785361572903,0.3477785099763555,0.3475629739386347,3.625
0.34772562651231664,0.347725599713722,0.3475042217192765,3.6666666666666665
0.34767430336676164,0.3476742759831585,0.34744692897626545,3.7083333333333335
0.34762608714043475,0.3476260593252892,0.34739261996268883,3.75
0.3475823688177898,0.34758233977954683,0.347342691919277,3.7916666666666665
0.34754432867125806,0.347544298945254,0.34729833794008097,3.8333333333333335
0.3475128532423109,0.3475128229195824,0.3472604578478735,3.875
0.34748844057065326,0.34748840975590933,0.34722956539078975,3.9166666666666665
0.3474711178168239,0.34747108603128507,0.3472057039116042,3.9583333333333335
0.3474603817548933,0.34746034906518364,0.3471883879691971,4.0
0.3474551890905341,0.34745515546491823,0.34717658886752983,4.041666666666667
0.3474540043071567,0.3474539698061679,0.34716878291577274,4.083333333333333
0.34745491573036996,0.34745488012368014,0.34716306833502686,4.125
0.34745580696572675,0.3474557730175158,0.34715733799495735,4.166666666666667
0.34745456293084315,0.3474545325843096,0.34714947168248234,4.208333333333333
0.34744927447097573,0.34744924404031835,0.34713756498565757,4.25
0.34743841190752095,0.3474383808075908,0.3471200681470254,4.291666666666667
0.34742093766902343,0.3474209059040616,0.34709593906592284,4.333333333333333
0.3473963569782833,0.3473963245458333,0.34706466949661896,4.375
0.3473647046686484,0.3473646715509844,0.34702627928390284,4.416666666666667
0.3473264867694096,0.34732645295813086,0.34698125892016546,4.458333333333333
0.3472825959502286,0.34728256144493946,0.34693048604591936,4.5
0.347234218727995,0.34723418356552715,0.34687513379723334,4.541666666666667
0.3471827470770744,0.34718271384604377,0.34681658281345884,4.583333333333333
