Vía,Flujo (g/d),% de W
Exportado aguas abajo (advección),991.5630575097565,99.15630575097565
Biodegradación,0.9634438889006675,0.09634438889006675
Fotólisis,7.272958092612928,0.7272958092612928
Hidrólisis,0.19925912582501173,0.019925912582501173
Volatilización,0.0004751312749677395,4.751312749677395e-05
Degradación en sedimento,0.0008062516341892175,8.062516341892175e-05
Cierre del balance (suma),1000.0000000000043,100.00000000000043
