W,Q_rio,T,pH,SS,I0,OD,C_procesos,C_obs,t12_bio,theta,n,B,t12_foto_sol,t12_ox8,M_up,ruido
1134.3242730184309,16.021073874694615,16.88970135874756,7.433846142110368,56.63180019638463,48.48246139512173,6.271656496406563,0.0007465952617712917,0.0007729885477294583,118.75488374418488,1.0378702349593967,0.04360804137114262,18.95101142173987,0.9118975758469063,2.1300975535964195,141.46997662608368,0.9281910961617478
1346.0323371543298,22.807258957883995,13.404668213964927,7.189565787135252,385.1547294298373,369.5108257816205,7.223987063525467,0.0006296999060860192,0.0006183830453319098,47.21084222154916,1.0762874406529332,0.038175211649478555,22.766695404654556,1.047235729253042,3.329825814996777,91.51704252336243,0.9090112635627444
1251.4834670107607,34.49612633482381,15.240595511627665,7.85008266386759,461.5132985382178,198.88264163720123,7.2778242564065945,0.0003989497880597153,0.000411780717236341,81.3325730320102,1.064579326484069,0.03909694036587509,22.922336034292506,0.9392546217467029,2.5123120084233164,62.77694417096078,0.9902535933631927
823.2111938126804,28.950153252087535,15.513549525091635,7.546692998716475,534.62834081696,219.36273677452334,6.861401542972572,0.0003097793889331776,0.0003456994883204507,66.68061781278033,1.0369118806004216,0.03958678785408704,16.487970156285037,0.7320010992498952,2.552226431391502,225.52021871533262,0.8746739416826754
881.5293696609334,24.66328090227733,13.97923114695319,7.354717329340988,273.74522270930976,333.4251817019597,7.075654293938274,0.00038393246305241273,0.000445821472965894,95.39549633036933,1.0449032399331784,0.040045715216283945,20.486332616245708,1.389585628056754,1.094942928421335,165.49871733369707,0.9764950138564156
1327.6245805182916,23.551695951943827,17.576595103096604,7.292411186071565,363.2289423851704,0.0,6.864252358550373,0.0006127448166356923,0.0006429580591630705,92.10255932581393,1.0723410893394796,0.04353555002592662,23.91550909451175,1.394908863000537,1.921078642928713,149.73563306717904,0.9489546198495044
652.0964069520171,28.02885232105413,13.992818655512211,8.233803668177817,264.2441016381094,8.75240324990271,7.151545348619287,0.00025528619312781313,0.000318730188810435,36.701153668928356,1.0730667506456901,0.048007319340075696,21.539849694490037,0.9841067162607149,1.7858102043789774,145.8313448266513,1.0832306636876807
1286.9157095017922,26.28813357612956,13.95714505471021,7.626311256148502,329.81235245217795,447.4888610181283,7.398200073240059,0.0005253098796336525,0.0004977680590412072,54.76951662418172,1.0644328118318689,0.04854515716713119,19.400426048570075,1.5546023017854327,2.279487550121719,90.16369198927038,0.880246513180824
1268.120015569092,18.744095010419215,16.155646868447512,8.288454656641871,233.36064403245527,0.0,6.834480760536337,0.0007242562554253889,0.0006783349176626253,49.73585457601193,1.0774987769698874,0.042809188026489906,16.895063500926057,0.927812649104008,1.53143370761654,196.9315095807092,0.8765247908052799
1012.0533933124148,12.410981875476605,14.92648490198435,7.417602038507488,43.89667932905228,0.0,6.937265244664296,0.0008410682002540844,0.0008247516454502915,36.451682194888605,1.0690884250895376,0.03728213019358762,16.706998233250104,1.1949303771631468,3.7726374458601817,119.0172445685563,0.8816024834263554
