t_d,C_Uchumayo_mgL,C_promedio_tramo_mgL,M_sedimento_g
0.0,0.0,0.0,0.0
0.041666666666666664,3.9755864125982056e-18,0.00023091383800418678,9.765943453223015e-05
0.08333333333333333,1.7412824921990196e-05,0.00045480359593488715,0.000386510921879986
0.125,0.000552081091214182,0.0005483165085140661,0.0008272456754024291
0.16666666666666666,0.0005459263778579399,0.0005523826124372598,0.0012900180168959486
0.20833333333333334,0.0005466277732386617,0.0005706226960424153,0.001762348238163759
0.25,0.0005622934413657088,0.0006019652336106697,0.0022560555653550305
0.2916666666666667,0.0005909682516591813,0.0006433569229724382,0.00278124026744942
0.3333333333333333,0.0006294659827816208,0.0006912816534525372,0.003345003174384848
0.375,0.0006748297331471923,0.0007427931718804195,0.003951801323416047
0.4166666666666667,0.0007247609601592556,0.0007945988171286375,0.004603471751949363
0.4583333333333333,0.000775925789863059,0.0008432053371114877,0.005298888924200866
0.5,0.0008250069069159991,0.0008855562752162695,0.006034071983512983
0.5416666666666666,0.0008689112743342333,0.0009189980565514902,0.006802537502997962
0.5833333333333334,0.0009051630910230672,0.0009415582726773593,0.0075957455440178534
0.625,0.0009314584912838125,0.0009518636310676437,0.008403653440336228
0.6666666666666666,0.0009464347073177871,0.0009492894776762289,0.009215285543325628
0.7083333333333334,0.0009489479006010245,0.0009339067378775716,0.01001936068961441
0.75,0.0009387942831309365,0.0009065403204688359,0.010804923793758046
0.7916666666666666,0.0009150572048362132,0.0008677585169743172,0.011561690149699343
0.8333333333333334,0.0008779120325309264,0.0008196591331564926,0.012280148992533857
0.875,0.0008302840875270292,0.000766352069375901,0.012953760041488998
0.9166666666666666,0.000777083853763973,0.0007117925616925876,0.01357955484794172
0.9583333333333334,0.0007216208895377197,0.000659656268889845,0.014157905809836425
1.0,0.0006680489609659216,0.0006135840715601944,0.014692489998112455
1.0416666666666667,0.0006197995884905284,0.0005768657107988709,0.01519009960270482
1.0833333333333333,0.0005802725159464585,0.000552152367339093,0.015660263829874527
1.125,0.0005525089677421926,0.0005412702550573046,0.016114596559818947
1.1666666666666667,0.0005385589966774973,0.0005450216870275801,0.016565970037030402
1.2083333333333333,0.000539420240528875,0.0005631003929684521,0.017027553583352686
1.25,0.0005550334287550711,0.0005941038249498492,0.01751181951295547
1.2916666666666667,0.0005835008075139509,0.0006350242966540812,0.018029398439388507
1.3333333333333333,0.0006216229982599669,0.000682374185207357,0.018587746779357
1.375,0.0006664827773010402,0.0007332530950825448,0.019191561526090174
1.4166666666666667,0.0007158680574024899,0.0007843970801154249,0.019842755526252347
1.4583333333333333,0.0007663124373785611,0.000832373420663203,0.020540133783382285
1.5,0.0008148181202290481,0.0008741340701053999,0.021279495465268736
1.5416666666666667,0.0008580453736905822,0.0009070904256276893,0.022053984000262445
1.5833333333333333,0.0008936898991186325,0.0009292570705040255,0.022854590562263456
