Control,Perturbado,Estrés (100×W),t_d
0.004999999999999999,0.005000000000000001,0.005,0.0
0.0049726681830782205,0.004972661717860558,0.004972661733437926,0.041666666666666664
0.004954260766333981,0.00495425683985372,0.00495425689079924,0.08333333333333333
0.004941934647843072,0.004941932843441014,0.004941932636159263,0.125
0.004933821724601066,0.00493382081668925,0.004933819402093799,0.16666666666666666
0.004928686306684882,0.004928686494401848,0.0049286800745792095,0.20833333333333334
0.004925699389745699,0.004925699041364781,0.004925682134322494,0.25
0.004924347201882685,0.004924346961346288,0.004924311234435985,0.2916666666666667
0.004924335265418247,0.004924335099053002,0.004924264353505075,0.3333333333333333
0.004925269345700452,0.0049252692261263905,0.004925138145622346,0.375
0.004926802198812041,0.004926802109607488,0.004926572490037799,0.4166666666666667
0.004928662642603224,0.0049286625786244065,0.004928278946195852,0.4583333333333333
0.004930635483357146,0.0049306354261338895,0.004930020569585986,0.5
0.004932543609730607,0.004932543584275182,0.004931594989102964,0.5416666666666666
0.004934239281925059,0.004934239318173467,0.0049328277771457955,0.5833333333333334
0.004935601756655402,0.004935601790253613,0.004933573493306449,0.625
0.004936536459384366,0.0049365364661562005,0.0049337199900080266,0.6666666666666666
0.004936965722609687,0.004936965726322439,0.004933183260735798,0.7083333333333334
0.004936776809823785,0.004936776809556501,0.0049318601201912724,0.75
0.004935803049884313,0.004935803003001928,0.0049296120016902,0.7916666666666666
0.0049342349024595975,0.00493423485765963,0.004926674640952145,0.8333333333333334
0.004932299406032714,0.004932299377533816,0.004923333737316672,0.875
0.0049301661755546435,0.00493016623678859,0.004919823026748327,0.9166666666666666
0.004927976966852275,0.004927976955317147,0.004916344389205344,0.9583333333333334
0.004925858839591164,0.004925858837005358,0.004913073466033904,1.0
0.004923928940916551,0.004923928855059586,0.004910157347065965,1.0416666666666667
0.004922292550943647,0.004922292533261707,0.004907709686590985,1.0833333333333333
0.0049210391252212625,0.0049210390388374275,0.004905806425488923,1.125
0.00492023679140102,0.004920236856496176,0.004904483042256734,1.1666666666666667
0.004919927622566935,0.004919927824160568,0.004903734178937206,1.2083333333333333
0.0049201241875490576,0.0049201242998928845,0.004903515494311629,1.25
0.004920869377984683,0.004920869499799653,0.004903808435418415,1.2916666666666667
0.004922230477604048,0.004922230584021761,0.004904619208142052,1.3333333333333333
0.004924062179634215,0.004924062265793249,0.004905747166288634,1.375
0.004926182659704571,0.004926182724977131,0.004906961887020134,1.4166666666666667
0.004928428765844297,0.004928428803410442,0.004908060021027472,1.4583333333333333
0.004930654963449952,0.004930654983483171,0.004908866909861536,1.5
0.004932728988946393,0.004932728996174686,0.004909235442054094,1.5416666666666667
0.004934531678834636,0.004934531674074131,0.004909049340443868,1.5833333333333333
0.004935960064854148,0.004935959847833246,0.0049082292622284794,1.625
0.00493693080537146,0.004936930536277688,0.004906739029413761,1.6666666666666667
0.0049373741581058405,0.0049373739142960175,0.004904578947817808,1.7083333333333333
0.0049371875149689945,0.004937187299409796,0.004901738124117598,1.75
0.004936221706104277,0.004936221469377002,0.004898176741206612,1.7916666666666667
0.004934668509221695,0.004934668325173509,0.004894202632797473,1.8333333333333333
0.004932751678232898,0.004932751581156478,0.0048901521050127746,1.875
0.004930638695868214,0.00493063862863408,0.004886288422273057,1.9166666666666667
0.004928469906218002,0.004928469843283114,0.004882819109046722,1.9583333333333333
0.004926371647106541,0.004926371604349195,0.004879901843300687,2.0
0.004924460341636236,0.004924460266010831,0.004877644966430517,2.0416666666666665
0.004922840798927349,0.004922840653101871,0.00487610729853542,2.0833333333333335
0.004921602000780667,0.004921601807095886,0.004875299126143266,2.125
0.004920811706171767,0.004920811546900596,0.004875185163504027,2.1666666666666665
0.004920511587926234,0.00492051173225356,0.004875690130462254,2.2083333333333335
0.004920713878248147,0.004920713875660381,0.00487670560409488,2.25
0.004921458699480887,0.004921458724120606,0.004878156114779391,2.2916666666666665
0.004922809072844497,0.0049228091057013715,0.00488000207547867,2.3333333333333335
0.004924625432865692,0.004924625457985946,0.004882022682330451,2.375
0.004926730989862525,0.004926730996957429,0.004883980856645134,2.4166666666666665
0.004928964655508633,0.0049289646503032376,0.004885675961924521,2.4583333333333335
0.00493118109991956,0.00493118108449509,0.004886945908027415,2.5
0.004933246911638075,0.004933246913864649,0.004887663933283348,2.5416666666666665
0.004935041121790184,0.004935041117764703,0.004887740599459578,2.5833333333333335
0.004936458978698364,0.004936458957829111,0.0048871278860734,2.625
0.0049374155407101395,0.004937415524178007,0.0048858221731604215,2.6666666666666665
0.0049378408147363615,0.004937840828941202,0.004883857030041163,2.7083333333333335
0.0049376368813855345,0.004937636936959332,0.0048812561994964485,2.75
0.004936668114346688,0.0049366681848482885,0.004878017940892953,2.7916666666666665
0.004935124463212168,0.0049351244899014145,0.004874464722245461,2.8333333333333335
0.004933223804368202,0.004933223813528282,0.004870936099757521,2.875
0.0049311301479828444,0.004931130275922173,0.004867693549048933,2.9166666666666665
0.0049289819776231775,0.004928982003152764,0.004864936402851092,2.9583333333333335
0.004926904128416298,0.004926904149275898,0.004862808870292699,3.0
0.004925012270635569,0.004925012275986282,0.004861401554873884,3.0416666666666665
0.004923410476423429,0.0049234105147199485,0.004860752339958798,3.0833333333333335
0.004922187081768259,0.004922187050608135,0.004860848964319476,3.125
0.0049214093356263,0.004921409281720058,0.004861633734473744,3.1666666666666665
0.004921118636398186,0.004921118427712098,0.0048630107051799085,3.2083333333333335
0.004921327017128722,0.004921326706257899,0.004864852947899645,3.25
0.0049220713738576454,0.004922071164959707,0.00486706674061897,3.2916666666666665
0.004923410213929159,0.004923410074431054,0.004869599008796747,3.3333333333333335
0.004925209400670484,0.004925209293999003,0.004872230056863443,3.375
0.00492729715577612,0.00492729706421408,0.004874728151275678,3.4166666666666665
0.004929514913651114,0.004929514832330046,0.004876899886830788,3.4583333333333335
0.004931717626992373,0.004931717548192147,0.00487859112574218,3.5
0.004933771234377247,0.004933771150489852,0.004879684832353283,3.5416666666666665
0.004935553386200428,0.004935553327615813,0.004880101945947401,3.5833333333333335
0.00493695779817044,0.004936957769836867,0.004879804874721727,3.625
0.004937898369331071,0.004937898354417999,0.0048788001809159775,3.6666666666666665
0.004938305214739801,0.004938305226084392,0.004877131467190447,3.7083333333333335
0.004938085519149164,0.004938085524149966,0.004874834869354342,3.75
0.004937116725876719,0.004937116885649129,0.004871926913297978,3.7916666666666665
