t_d,C_procesos,C_integrado,P5,P95
0.0,0.0,0.00013885880904346992,-7.4272887394509425e-06,0.0002574224861031307
0.041666666666666664,3.9755864125982056e-18,0.00014044108224579033,-1.2429870911915572e-05,0.0002591188899238454
0.08333333333333333,1.7412824921990196e-05,0.0001644374351626543,9.347112955593606e-06,0.0002920032152714448
0.125,0.000552081091214182,0.0006962774526816128,0.0005373693412508916,0.0008285890071619188
0.16666666666666666,0.0005459263778579399,0.0006932170546875915,0.0005273603123024438,0.0008222747114789596
0.20833333333333334,0.0005466277732386617,0.0006946099459321832,0.0005305150917479254,0.0008239720176536832
0.25,0.0005622934413657088,0.000709587649269156,0.0005477522799216194,0.0008427462842454076
0.2916666666666667,0.0005909682516591813,0.0007233932854437955,0.0005718106503177369,0.0008496859895053319
0.3333333333333333,0.0006294659827816208,0.0007355434298633324,0.0006037729405780391,0.0008845956686528282
0.375,0.0006748297331471923,0.000762361368477303,0.0006370761601450155,0.0009307470765071542
0.4166666666666667,0.0007247609601592556,0.0008046446084624073,0.000679124933051724,0.0009691350033150766
0.4583333333333333,0.000775925789863059,0.0008569982047754039,0.0007215606072813299,0.0010159169205850337
0.5,0.0008250069069159991,0.0008860933979591464,0.0007694768349454287,0.0010620676683459076
0.5416666666666666,0.0008689112743342333,0.0009390389952114125,0.0008149106671811785,0.0011059720357641419
0.5833333333333334,0.0009051630910230672,0.0009705481755869417,0.0008742907670297113,0.0011320391353487065
0.625,0.0009314584912838125,0.0009963388894417072,0.000905500482308325,0.0011660632821071887
0.6666666666666666,0.0009464347073177871,0.0010096080868067113,0.0009206296669380229,0.001184871226850917
0.7083333333333334,0.0009489479006010245,0.0010482589270809021,0.0009229833448962263,0.001186966569954909
0.75,0.0009387942831309365,0.0010474239439854512,0.0009143103449266234,0.0011856604702938714
0.7916666666666666,0.0009150572048362132,0.0010377764822581002,0.000884307639370514,0.0011615585435403987
0.8333333333333334,0.0008779120325309264,0.0010161733940062705,0.0008429649345718359,0.0011275060769683127
0.875,0.0008302840875270292,0.0009700105356879535,0.0008003378775753068,0.0010729964573741172
0.9166666666666666,0.000777083853763973,0.0009177065048167408,0.0007639777935622243,0.0010206445316322493
0.9583333333333334,0.0007216208895377197,0.0008622789700203927,0.0007144858575384899,0.0009663908595587239
1.0,0.0006680489609659216,0.0008125378512021222,0.0006610312466292465,0.0009133482941772751
1.0416666666666667,0.0006197995884905284,0.0007659796482069586,0.000608607998681647,0.0008666897963321218
1.0833333333333333,0.0005802725159464585,0.0007315766683192155,0.0005734450850831,0.0008422242345723002
1.125,0.0005525089677421926,0.0007025637619131982,0.0005390354988819404,0.0008167548207170635
1.1666666666666667,0.0005385589966774973,0.0006913740685831575,0.0005191313415510337,0.0008026452673256509
1.2083333333333333,0.000539420240528875,0.0006922961327047304,0.0005207062928940066,0.000804543762438124
1.25,0.0005550334287550711,0.000704950064147501,0.0005417305484140198,0.0008227086898300679
1.2916666666666667,0.0005835008075139509,0.0007215745344119741,0.0005655814872755447,0.0008299564823872355
1.3333333333333333,0.0006216229982599669,0.0007301042058788207,0.0005885631162930568,0.0008672416593423018
1.375,0.0006664827773010402,0.00075759296591263,0.0006287292042988634,0.000911106937466281
1.4166666666666667,0.0007158680574024899,0.0007953540871059684,0.0006702320302949584,0.0009484984183077129
1.4583333333333333,0.0007663124373785611,0.0008505592413119946,0.0007119472547968321,0.0009932662221903232
1.5,0.0008148181202290481,0.0008770903711813844,0.0007593575394375874,0.0010279094546470121
1.5416666666666667,0.0008580453736905822,0.0009288692988960324,0.0008040447665375274,0.001070778673853157
1.5833333333333333,0.0008936898991186325,0.0009593455946696573,0.0008628175751252767,0.0011064231992812075
1.625,0.0009195252789989681,0.0009864416307207994,0.0008935672700234805,0.0011399873256592798
1.6666666666666667,0.0009340383712241327,0.0010005902315953802,0.0009082333308443684,0.001158332146594198
1.7083333333333333,0.0009363254542344009,0.0010376306432415634,0.0009103608985296026,0.0011602013794252207
1.75,0.0009259996261605198,0.0010334357193423067,0.0009015156879562066,0.00115872306916039
1.7916666666666667,0.0009023390997799775,0.0010254222438735884,0.0008715895343142782,0.0011356292546401041
1.8333333333333333,0.0008654667149774681,0.001002300797478803,0.0008317578981214158,0.0011018495755707957
1.875,0.0008182964623502712,0.000952503087773061,0.000789588533501587,0.0010467391604537038
1.9166666666666667,0.0007656259224086057,0.000896327203700906,0.0007459488111511059,0.0009949169285332266
1.9583333333333333,0.0007108796088719193,0.0008451773062860465,0.0007037445768726896,0.0009424248435965158
2.0,0.0006580573972635606,0.0007919457880025175,0.0006510396829268855,0.0008887086766961218
