x (mm),C (mg/m) | t=1 h,C (mg/m) | t=6 h,C (mg/m) | t=24 h
0.0,148677.0096793976,60697.13503289328,30348.56751644664
1.0,138702.5605645057,59998.671726078246,30260.880297802512
2.0,112617.65022648193,57951.137689645795,29999.335863039123
3.0,79581.06858892611,54692.67736674377,29568.44220654154
5.0,26197.529741734448,45446.9015826413,28230.737161663747
8.0,1746.0075617758155,28938.004256687556,25218.15401073702
12.0,6.749925796740932,11464.207969850611,20007.008775223
