Tiempo,t (s),C_max (mg/m),sigma_x (m),sigma_x (mm),Ancho ±2σ (mm)
1 h,3600.0,148677.0096793976,0.002683281572999748,2.683281572999748,10.733126291998992
6 h,21600.0,60697.13503289328,0.006572670690061994,6.572670690061994,26.290682760247975
24 h,86400.0,30348.56751644664,0.013145341380123987,13.145341380123988,52.58136552049595
