Parámetro,Variable de salida,Valor base,−10 %,+10 %,Índice S (elasticidad),|S|
u,x_max (m),900.0,810.0,990.0000000000001,1.0000000000000004,1.0000000000000004
u,C_max (mg/m),0.6324760596587621,0.6324760596587621,0.6324760596587621,0.0,0.0
u,Masa remanente (mg),951.229424500714,951.229424500714,951.229424500714,0.0,0.0
Dx,x_max (m),900.0,900.0,900.0,0.0,0.0
Dx,C_max (mg/m),0.6324760596587621,0.6666883046834089,0.603042261478093,-0.5031498207193377,0.5031498207193377
Dx,Masa remanente (mg),951.229424500714,951.229424500714,951.229424500714,0.0,0.0
k,x_max (m),900.0,900.0,900.0,0.0,0.0
k,C_max (mg/m),0.6324760596587621,0.6356463591008734,0.6293215721510836,-0.05000020833359421,0.05000020833359421
k,Masa remanente (mg),951.229424500714,955.9974818330999,946.4851479534839,-0.05000020833359352,0.05000020833359352
