u (m/s),x_max = u·t (m),x_max (km),C_max (mg/m),σₓ (m),Tiempo hasta 5 km (h)
0.1,360.0,0.36,0.6324760596587621,600.0,13.88888888888889
0.25,900.0,0.9,0.6324760596587621,600.0,5.555555555555555
0.5,1800.0,1.8,0.6324760596587621,600.0,2.7777777777777777
