x (km),t de viaje = x/u (h),k·x/u,e^(−k·x/u),C (mg/L),Remanente (%),Removido (%)
0.0,0.0,0.0,1.0,10.0,100.0,0.0
1.0,1.1111111111111112,0.05555555555555556,0.9459594689067654,9.459594689067654,94.59594689067653,5.404053109323459
5.0,5.555555555555555,0.2777777777777778,0.7574651283969664,7.574651283969665,75.74651283969665,24.253487160303354
10.0,11.11111111111111,0.5555555555555556,0.5737534207374327,5.737534207374328,57.375342073743276,42.624657926256724
