x (m),C (mg/m) | Dx=50,C (mg/m) | Dx=100,C (mg/m) | Dx=200
0,0.21586265944315286,0.26788794549800304,0.25094786012900366
300,0.4032845408652389,0.36615940788976864,0.29338777230358287
600,0.5867755446071657,0.4416725539067143,0.322223430669041
900,0.6649038006690544,0.4701579862897969,0.3324519003345272
1200,0.5867755446071657,0.4416725539067143,0.322223430669041
1500,0.4032845408652389,0.36615940788976864,0.29338777230358287
1800,0.21586265944315286,0.26788794549800304,0.25094786012900366
2100,0.08998494418864675,0.1729614572585811,0.20164227043261945
