k (h⁻¹),e^(−k·t),Pérdida (%),C_max (mg/m),Masa remanente (mg),Vida media (h)
0.0,1.0,0.0,0.6649038006690544,1000.0,inf
0.02,0.9801986733067553,1.9801326693244747,0.6517378232924264,980.1986733067553,34.657359027997266
0.05,0.951229424500714,4.877057549928598,0.6324760596587621,951.229424500714,13.862943611198904
0.1,0.9048374180359595,9.51625819640405,0.6016298382396835,904.8374180359596,6.931471805599452
