x (km),C (mg/L) | u=0.10 m/s,C (mg/L) | u=0.25 m/s,C (mg/L) | u=0.50 m/s
1,8.703247258333906,9.459594689067654,9.726044771163483
5,4.9935178859927625,7.574651283969665,8.703247258333905
10,2.4935220877729627,5.737534207374328,7.574651283969665
