x (m),B: C (mg/m),C: C (mg/m),Diferencia (mg/m),Diferencia (%)
0,0.21586265944315286,0.20533491331330392,0.010527746129848942,4.8770575499285975
300,0.4032845408652389,0.3836161217172759,0.019668419147963023,4.8770575499286
600,0.5867755446071657,0.5581581636077673,0.02861738099939848,4.877057549928607
900,0.6649038006690544,0.6324760596587621,0.03242774101029233,4.877057549928601
1200,0.5867755446071657,0.5581581636077673,0.02861738099939848,4.877057549928607
1500,0.4032845408652389,0.3836161217172759,0.019668419147963023,4.8770575499286
1800,0.21586265944315286,0.20533491331330392,0.010527746129848942,4.8770575499285975
2100,0.08998494418864675,0.08559632667429531,0.004388617514351434,4.877057549928601
2400,0.02921383415594756,0.0277890586516213,0.001424775504326261,4.877057549928602
