Caso,D (m²/s),C_max (mg/m),sigma_x (mm),Razón C_max,Razón sigma
D,1e-09,30348.56751644664,13.145341380123988,1.0,1.0
2D,2e-09,21459.6778901772,18.5903200617956,0.7071067811865476,1.414213562373095
