x (km),C (mg/L) | k=0.00 h⁻¹,C (mg/L) | k=0.02 h⁻¹,C (mg/L) | k=0.05 h⁻¹,C (mg/L) | k=0.10 h⁻¹
1,10.0,9.780228724846005,9.459594689067654,8.948393168143697
5,10.0,8.948393168143697,7.574651283969665,5.737534207374328
10,10.0,8.00737402916808,5.737534207374328,3.291929878079056
